A,0.00
AAL,0.00
AAP,0.00
AAPL,0.00
ABBV,0.00
ABC,0.00
ABT,0.00
ACN,0.00
ADBE,0.00
ADI,0.00
ADM,0.00
ADP,0.00
ADS,0.00
ADSK,0.00
AEE,0.00
AEP,0.00
AES,0.00
AET,0.00
AFL,0.00
AGN,0.00
AIG,0.00
AIV,0.00
AIZ,0.00
AJG,0.00
AKAM,0.00
ALB,0.00
ALGN,0.00
ALK,0.00
ALL,0.00
ALLE,0.00
ALXN,0.00
AMAT,0.00
AMD,0.00
AME,0.00
AMG,0.00
AMGN,0.00
AMP,0.00
AMT,0.00
AMZN,0.00
ANDV,0.00
ANSS,0.00
ANTM,0.00
AON,0.00
AOS,0.00
APA,0.00
APC,0.00
APD,0.00
APH,0.00
APTV,0.00
ARE,0.00
ARNC,0.00
ATVI,0.00
AVB,0.00
AVGO,0.00
AVY,0.00
AWK,0.00
AXP,0.00
AYI,0.00
AZO,0.00
BA,0.00
BAC,0.00
BAX,0.00
BBT,0.00
BBY,0.00
BDX,0.00
BEN,0.00
BF.B,0.00
BHF,0.00
BHGE,0.00
BIIB,0.00
BK,0.00
BLK,0.00
BLL,0.00
BMY,0.00
BRK.B,0.00
BSX,0.00
BWA,0.00
BXP,0.00
C,0.00
CA,0.00
CAG,0.00
CAH,0.00
CAT,0.00
CB,0.00
CBG,0.00
CBOE,0.00
CBS,0.00
CCI,0.00
CCL,0.00
CDNS,0.00
CELG,0.00
CERN,0.00
CF,0.00
CFG,0.00
CHD,0.00
CHK,0.00
CHRW,0.00
CHTR,0.00
CI,0.00
CINF,0.00
CL,0.00
CLX,0.00
CMA,0.00
CMCSA,0.00
CME,0.00
CMG,0.00
CMI,0.00
CMS,0.00
CNC,0.00
CNP,0.00
COF,0.00
COG,0.00
COL,0.00
COO,0.00
COP,0.00
COST,0.00
COTY,0.00
CPB,0.00
CRM,0.00
CSCO,0.00
CSRA,0.00
CSX,0.00
CTAS,0.00
CTL,0.00
CTSH,0.00
CTXS,0.00
CVS,0.00
CVX,0.00
CXO,0.00
D,0.00
DAL,0.00
DE,0.00
DFS,0.00
DG,0.00
DGX,0.00
DHI,0.00
DHR,0.00
DIS,0.00
DISCA,0.00
DISCK,0.00
DISH,0.00
DLR,0.00
DLTR,0.00
DOV,0.00
DPS,0.00
DRE,0.00
DRI,0.00
DTE,0.00
DUK,0.00
DVA,0.00
DVN,0.00
DWDP,0.00
DXC,0.00
EA,0.00
EBAY,0.00
ECL,0.00
ED,0.00
EFX,0.00
EIX,0.00
EL,0.00
EMN,0.00
EMR,0.00
EOG,0.00
EQIX,0.00
EQR,0.00
EQT,0.00
